Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
"Peter, Apostle [4] Red, or Peter and Paul, Apostles [4] Red",29/06/2013,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 6 [3] Green; SPB Trinity 5,30/06/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Serf, Bishop, c.550 [6] White",01/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Pentecost 6,02/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas, Apostle [4] Red (if not kept on 21 December)",03/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Pentecost 6,04/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Pentecost 6,05/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Palladius, Bishop, c.450 [6] White",06/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 7 [3] Green; SPB Trinity 6,07/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Monday after Pentecost 7,08/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Pentecost 7,09/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Pentecost 7,10/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Benedict of Nursia, Abbot, c.550 [6] White",11/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Drostan of Deer, Abbot, c.600 [6] White",12/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Pentecost 7,13/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 8 [3] Green; SPB Trinity 7,14/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Monday after Pentecost 8,15/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Pentecost 8,16/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Pentecost 8,17/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Pentecost 8,18/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Pentecost 8,19/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Pentecost 8,20/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 9 [3] Green; SPB Trinity 8,21/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Mary Magdalene [4] White,22/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
"William Wilberforce, 1833 [6] White (translated from 21 July)",23/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
